"","FIPS","SVI","Est_Hest","Party","NHW","mean_mobility","sum_deaths"
"1",1001,0.44,0.1685,0.274423027687356,0.746,0.825871773917312,0.00207628559666362
"2",1003,0.22,0.1544,0.22731728972827,0.8307,0.816033817208333,0.00140659576946164
"3",1005,1,0.1676,0.461391071086415,0.4581,0.837412698007522,0.00243052742445111
"4",1007,0.6,0.1808,0.208810850594049,0.7453,0.85422648679135,0.0030365276413325
"5",1009,0.42,0.1854,0.0965229790501261,0.8689,0.851429583981041,0.00243834953135268
"6",1011,0.89,0.1676,0.750435540069686,0.2138,0.871365871365871,0.00415800415800416
"7",1013,0.87,0.1758,0.420778945134246,0.516,0.85155990262759,0.00365076100370218
"8",1015,0.83,0.1795,0.30240276646064,0.7207,0.811677809376758,0.00286959200739404
"9",1017,0.74,0.1806,0.421021299113639,0.5555,0.802745328402145,0.00375894629217538
"10",1019,0.45,0.1783,0.133038420578357,0.9172,0.848644674393455,0.00190868834936632
"11",1021,0.76,0.1806,0.160402964818875,0.8013,0.836164346561653,0.00261096605744125
"12",1023,0.87,0.1735,0.421258251380843,0.5638,0.879923831210669,0.00206529509889586
"13",1025,0.85,0.1735,0.44001835002676,0.5272,0.846221249520125,0.00266700533401067
"14",1027,0.56,0.1783,0.184478741991846,0.8036,0.867699282206271,0.00445787684170759
"15",1029,0.54,0.1783,0.0942869115798296,0.9269,0.885242045882602,0.00301810865191147
"16",1031,0.54,0.1758,0.23098976109215,0.7015,0.83414717639466,0.00254098047457109
"17",1033,0.43,0.1738,0.302875190590285,0.782,0.798670979193784,0.00253434948679423
"18",1035,0.81,0.1735,0.462858926342072,0.5005,0.870467436442824,0.00240324852904616
"19",1037,0.53,0.1806,0.330937903077207,0.648,0.869246720226745,0.00271968489168152
"20",1039,0.77,0.1758,0.157219622118218,0.8329,0.81984243746804,0.00329293638154876
"21",1041,0.69,0.1758,0.258988421694089,0.7098,0.863959079614032,0.00442927679349405
"22",1043,0.52,0.1805,0.108274094491997,0.9188,0.849281871784171,0.00241142202272944
"23",1045,0.76,0.1768,0.265495814717814,0.6857,0.825776502720671,0.00233872935817132
"24",1047,0.95,0.1808,0.68885884871015,0.2732,0.82114809811631,0.00422088396601785
"25",1049,0.8,0.1898,0.147376755714679,0.8044,0.85967873644585,0.00264287612042566
"26",1051,0.54,0.1685,0.255779526781969,0.7316,0.806697651603161,0.0026228619980544
"27",1053,0.86,0.1735,0.31152213846836,0.6023,0.841486585379078,0.00221112112030137
"28",1055,0.66,0.1797,0.245609937360654,0.7786,0.812436675916247,0.00355927562874017
"29",1057,0.7,0.1855,0.160437032777458,0.845,0.856292109716767,0.00380321432953012
"30",1059,0.84,0.1738,0.167388862140908,0.7685,0.841417892519784,0.00271028633377973
"31",1061,0.8,0.1768,0.128184521417665,0.8385,0.869229208935526,0.00308324768756423
"32",1063,0.99,0.1808,0.816137844084892,0.1724,0.849807874080467,0.00419183824435951
"33",1065,0.96,0.1808,0.595023486098769,0.3953,0.846505404745854,0.00539212340454576
"34",1067,0.55,0.1768,0.282861174427439,0.6917,0.86718499321239,0.0025573961057832
"35",1069,0.68,0.1768,0.283671900735698,0.6646,0.817285874971181,0.00274834249447498
"36",1071,0.57,0.1898,0.158934450763245,0.8925,0.821875618582333,0.00222755975671173
"37",1073,0.66,0.149,0.566834409152313,0.4989,0.771640734473866,0.00237635007812346
"38",1075,0.63,0.1855,0.136744966442953,0.8599,0.852679182260856,0.00268018833755886
"39",1077,0.45,0.1738,0.273054358786323,0.8472,0.813721439274291,0.00270681232408416
"40",1079,0.5,0.1713,0.224250818433644,0.7649,0.868703431564267,0.00306767099987851
"41",1081,0.66,0.1417,0.39753998944079,0.6744,0.820816869340767,0.00107571319176867
"42",1083,0.53,0.16,0.282993873157808,0.7654,0.80964672172524,0.00158722135166557
"43",1085,0.92,0.1685,0.730317273795535,0.2466,0.890276920967852,0.00544931112482007
"44",1087,0.9,0.1676,0.821829113192277,0.1585,0.829957967431678,0.00304405578924065
"45",1089,0.31,0.145,0.459240474361538,0.6468,0.782335269499258,0.00141589503069113
"46",1091,0.76,0.1808,0.506693749422953,0.4488,0.860150225236184,0.00349891321634947
"47",1093,0.67,0.1833,0.107038337723149,0.9185,0.834298632811329,0.00363526204180551
"48",1095,0.73,0.1618,0.151862830275464,0.8075,0.812192423471605,0.00238700477400955
"49",1097,0.75,0.1677,0.43977046985065,0.5689,0.807904501774115,0.00199898356767745
"50",1099,0.75,0.1735,0.420203735144312,0.5427,0.845632236081847,0.00202575604109391
"51",1101,0.84,0.1522,0.659535977105478,0.339,0.787962581133867,0.00270656905945621
"52",1103,0.69,0.1713,0.250179590910809,0.7563,0.807143812895843,0.00238137016519189
"53",1105,0.99,0.1808,0.74245047124447,0.2934,0.883456610258134,0.00313795808584557
"54",1107,0.92,0.1687,0.418261231281198,0.5365,0.874158871117404,0.00311088810837933
"55",1109,0.9,0.1676,0.412048545108934,0.5602,0.839005312490434,0.0023554991846349
"56",1111,0.72,0.1783,0.204701728303289,0.7529,0.858589165289087,0.00198045946659625
"57",1113,0.91,0.1676,0.532334534420633,0.4607,0.815053249078915,0.000724625178999672
"58",1115,0.37,0.1854,0.176360737872922,0.8587,0.825658639784426,0.00279292161944767
"59",1117,0.12,0.1422,0.294490475178812,0.7787,0.796116168853666,0.001185106246153
"60",1119,0.96,0.1808,0.744156260006404,0.2481,0.8705909176256,0.00257503822322363
"61",1121,0.87,0.1783,0.371413224775959,0.6263,0.82148053043354,0.00230063267398535
"62",1123,0.89,0.1806,0.281385073479973,0.6887,0.832577878784074,0.0038645428196299
"63",1125,0.63,0.16,0.424889178911366,0.6155,0.811399854019995,0.00219244823386114
"64",1127,0.75,0.1855,0.156764820339862,0.8895,0.822801562982191,0.00450244800931975
"65",1129,0.73,0.1735,0.255951031512129,0.6495,0.891045294588512,0.0024500796275879
"66",1131,0.93,0.1735,0.688318313212039,0.2684,0.886513598337564,0.00289212378289791
"67",1133,0.7,0.1805,0.0872056585191154,0.937,0.862549328460442,0.00317406576664268
"68",4001,0.99,0.2105,0.670591622283,0.1821,0.80179890394952,0.00605116363181104
"69",4003,0.91,0.141,0.400276611175766,0.5499,0.738476830514563,0.00232683724845539
"70",4005,0.71,0.1626,0.622968641114983,0.5405,0.762732309389151,0.00232791547018317
"71",4007,0.9,0.1638,0.327342606149341,0.6225,0.732994633447907,0.00425783997926617
"72",4009,0.96,0.1638,0.272881011973212,0.5086,0.796899299178407,0.00221438319128666
"73",4011,0.62,0.1638,0.326970954356846,0.4662,0.74446813364217,0.00105285323225942
"74",4012,0.92,0.1537,0.303598099117447,0.574,0.723412015440487,0.00383740761796475
"75",4013,0.64,0.139,0.511075460644782,0.5524,0.752013752509496,0.00226556567576594
"76",4015,0.86,0.1537,0.240224058200956,0.7729,0.728012714396787,0.00351115321352996
"77",4017,1,0.2105,0.458130877742947,0.4128,0.761057305433857,0.00490425877177166
"78",4019,0.88,0.1371,0.594807494651275,0.5173,0.74937014533697,0.00230884033767506
"79",4021,0.86,0.1635,0.412255808719804,0.5679,0.760431045871166,0.00195985643565426
"80",4023,0.93,0.141,0.679598593006414,0.1485,0.769264490386094,0.003871134242333
"81",4025,0.52,0.1371,0.351465680335013,0.8046,0.742583348885899,0.00222459474519245
"82",4027,0.99,0.1475,0.468549982543931,0.3097,0.684700000019223,0.00395253219325778
"83",5001,0.78,0.2119,0.296961777196994,0.6976,0.811197686133251,0.00245911014525906
"84",5003,0.86,0.2237,0.276945132282028,0.6823,0.826734044417312,0.00203489850943684
"85",5005,0.28,0.2042,0.226417859410874,0.9471,0.77926656203978,0.00250405418296289
"86",5007,0.27,0.1818,0.363544839692292,0.7333,0.792119149486637,0.00153327529814681
"87",5009,0.44,0.2042,0.183297439578847,0.9387,0.804962862337404,0.0022974994656978
"88",5011,0.98,0.2237,0.342068188222034,0.555,0.827014101809698,0.00315897054724519
"89",5013,0.55,0.1967,0.226477541371158,0.7246,0.883308173272521,0.000770861437656581
"90",5015,0.6,0.2042,0.351445793657727,0.7962,0.816068618649058,0.00162085976039464
"91",5017,1,0.2237,0.563310069790628,0.3873,0.848195460235883,0.00424985174935758
"92",5019,0.79,0.2031,0.42686863670226,0.6869,0.837617223940688,0.00188172043010753
"93",5021,0.65,0.2134,0.190570522979398,0.9534,0.842539655044186,0.0035736375506838
"94",5023,0.21,0.2177,0.161416044170185,0.9467,0.803753201468649,0.00313014165897508
"95",5025,0.56,0.2237,0.185048322910745,0.8457,0.866781185408636,0.00314228255404726
"96",5027,0.94,0.1967,0.338465239355304,0.5927,0.827504247060053,0.00242997825808927
"97",5029,0.76,0.2091,0.314718979419906,0.8159,0.85208751982904,0.00163100834692507
"98",5031,0.8,0.214,0.318071453347208,0.7603,0.807400975089382,0.00175832940579342
"99",5033,0.61,0.2068,0.21043028091318,0.8427,0.817937091157381,0.00196025736282151
"100",5035,0.93,0.2168,0.537262573357733,0.4199,0.778985721488325,0.00210614117401731
"101",5037,0.7,0.2279,0.263768978862757,0.7265,0.852464610412094,0.00310615750045679
"102",5039,0.88,0.1967,0.379731861198738,0.5313,0.837381699719408,0.00214010557854187
"103",5041,0.96,0.2237,0.512065024130048,0.4523,0.782749709043609,0.00211249009770267
"104",5043,0.8,0.2237,0.358081180811808,0.6628,0.821580962821441,0.00246994895438828
"105",5045,0.48,0.2095,0.347691782898726,0.8004,0.819134422951715,0.00133325926337426
"106",5047,0.59,0.2154,0.186326501361617,0.9205,0.825515100197573,0.00231442280553204
"107",5049,0.67,0.2177,0.207165732586069,0.9491,0.862600518286981,0.00376693115332211
"108",5051,0.83,0.2031,0.325764252910887,0.8206,0.804844071365306,0.00264624796248969
"109",5053,0.35,0.2041,0.157281071694369,0.9257,0.836197683270271,0.00186148371201752
"110",5055,0.58,0.2134,0.194430315361139,0.93,0.8035545414019,0.00174296745725317
"111",5057,0.95,0.2112,0.323547215496368,0.5461,0.875165093559379,0.000928850083596507
"112",5059,0.82,0.2031,0.25089547378704,0.8253,0.847843432173913,0.00228006277575435
"113",5061,0.9,0.2154,0.284682387932866,0.6414,0.822085037620563,0.00189365247689744
"114",5063,0.75,0.2177,0.199630051223677,0.8871,0.826651214587728,0.00338400528750826
"115",5065,0.57,0.2177,0.180644019815994,0.9293,0.809944950181774,0.00315503705334214
"116",5067,0.76,0.2265,0.275312626058895,0.7683,0.782774417097437,0.0022728632095221
"117",5069,0.94,0.2041,0.611419475961146,0.3888,0.807971338326481,0.00264874895247217
"118",5071,0.88,0.2091,0.247587029606333,0.7918,0.847639462857838,0.00154262924223042
"119",5073,0.79,0.2112,0.323189522342065,0.5859,0.856160678341385,0.00135869565217391
"120",5075,0.65,0.2134,0.191184280403611,0.9526,0.821294208081054,0.00268194562964769
"121",5077,0.97,0.2279,0.525286083425618,0.4104,0.833866496054596,0.00429039178051259
"122",5079,0.81,0.2237,0.274395107684127,0.642,0.884817345754846,0.00368550368550369
"123",5081,0.63,0.2112,0.248127909330095,0.7289,0.849693195928615,0.00383391793784159
"124",5083,0.8,0.2154,0.193362554790232,0.9044,0.832250171982709,0.0011646324420013
"125",5085,0.33,0.2095,0.226107541427122,0.86,0.82594953207076,0.00170511124145739
"126",5087,0.65,0.2042,0.216452014956377,0.8933,0.859935549388674,0.00150820463320463
"127",5089,0.52,0.2042,0.209324582991523,0.941,0.787916150845946,0.00185695459446508
"128",5091,0.91,0.2112,0.262604392205382,0.6847,0.820517448913962,0.000924705827958481
"129",5093,0.96,0.2168,0.384511557280243,0.5828,0.781992591127348,0.00287815797889351
"130",5095,0.85,0.2279,0.426077265973254,0.5416,0.844024109171102,0.0026861662438442
"131",5097,0.7,0.2031,0.193539846438973,0.9093,0.853245480624181,0.00356109503672379
"132",5099,0.88,0.2112,0.33530694920536,0.6281,0.886049509883126,0.00302956858943286
"133",5101,0.28,0.2042,0.181748269674442,0.9389,0.859575863106754,0.0033535405649426
"134",5103,0.87,0.1967,0.430078587576704,0.5513,0.849441614729982,0.00269438029253272
"135",5105,0.64,0.2091,0.225339568024939,0.9546,0.827294223922631,0.00114777618364419
"136",5107,0.92,0.2279,0.599834437086093,0.345,0.832866256764019,0.00241817568327522
"137",5109,0.71,0.2112,0.154696132596685,0.8737,0.864375349878709,0.0022392237357716
"138",5111,0.83,0.2279,0.193952601470989,0.8681,0.821831638665443,0.00335770146208773
"139",5113,0.89,0.2154,0.150464919695689,0.876,0.82760983659476,0.00365658184732519
"140",5115,0.79,0.2091,0.241982140611244,0.8401,0.82198793480622,0.00179485578723936
"141",5117,0.65,0.2265,0.190116279069767,0.8465,0.844474420463629,0.003225006201935
"142",5119,0.63,0.1775,0.615495610804545,0.5227,0.775061768811573,0.00175039741165724
